model_name,scats_number,datetime,actual_flow,predicted_flow
XGBoost,970,2006-10-30 05:15:00,87,77.59
XGBoost,970,2006-10-30 05:30:00,127,113.18
XGBoost,970,2006-10-30 05:45:00,178,165.42
XGBoost,970,2006-10-30 06:00:00,237,233.16
XGBoost,970,2006-10-30 06:15:00,334,325.83
XGBoost,970,2006-10-30 06:30:00,564,438.7
XGBoost,970,2006-10-30 06:45:00,609,646.37
XGBoost,970,2006-10-30 07:00:00,748,734.8
XGBoost,970,2006-10-30 07:15:00,942,847.57
XGBoost,970,2006-10-30 07:30:00,1098,1005.15
XGBoost,970,2006-10-30 07:45:00,1183,1173.86
XGBoost,970,2006-10-30 08:00:00,1250,1166.73
XGBoost,970,2006-10-30 08:15:00,1278,1249.46
XGBoost,970,2006-10-30 08:30:00,1255,1262.81
XGBoost,970,2006-10-30 08:45:00,1243,1244.2
XGBoost,970,2006-10-30 09:00:00,1043,1076.31
XGBoost,970,2006-10-30 09:15:00,896,960.8
XGBoost,970,2006-10-30 09:30:00,803,847.75
XGBoost,970,2006-10-30 09:45:00,797,774.07
XGBoost,970,2006-10-30 10:00:00,769,762.3
XGBoost,970,2006-10-30 10:15:00,769,738.15
XGBoost,970,2006-10-30 10:30:00,713,747.03
XGBoost,970,2006-10-30 10:45:00,737,717.43
XGBoost,970,2006-10-30 11:00:00,718,721.44
XGBoost,970,2006-10-30 11:15:00,773,747.66
XGBoost,970,2006-10-30 11:30:00,799,796.5
XGBoost,970,2006-10-30 11:45:00,767,825.76
XGBoost,970,2006-10-30 12:00:00,787,781.51
XGBoost,970,2006-10-30 12:15:00,793,801.72
XGBoost,970,2006-10-30 12:30:00,822,804.16
XGBoost,970,2006-10-30 12:45:00,792,822.4
XGBoost,970,2006-10-30 13:00:00,876,807.23
XGBoost,970,2006-10-30 13:15:00,795,854.89
XGBoost,970,2006-10-30 13:30:00,905,820.51
XGBoost,970,2006-10-30 13:45:00,846,858.63
XGBoost,970,2006-10-30 14:00:00,917,857.08
XGBoost,970,2006-10-30 14:15:00,847,908.58
XGBoost,970,2006-10-30 14:30:00,813,892.71
XGBoost,970,2006-10-30 14:45:00,822,878.52
XGBoost,970,2006-10-30 15:00:00,917,891.22
XGBoost,970,2006-10-30 15:15:00,1026,961.07
XGBoost,970,2006-10-30 15:30:00,1018,1039.63
XGBoost,970,2006-10-30 15:45:00,1070,1072.33
XGBoost,970,2006-10-30 16:00:00,1070,1072.45
XGBoost,970,2006-10-30 16:15:00,1127,1120.97
XGBoost,970,2006-10-30 16:30:00,1115,1174.5
XGBoost,970,2006-10-30 16:45:00,1115,1161.99
XGBoost,970,2006-10-30 17:00:00,1192,1202.23
XGBoost,970,2006-10-30 17:15:00,1216,1217.02
XGBoost,970,2006-10-30 17:30:00,1276,1261.62
XGBoost,970,2006-10-30 17:45:00,1266,1296.95
XGBoost,970,2006-10-30 18:00:00,1218,1223.6
XGBoost,970,2006-10-30 18:15:00,1160,1169.59
XGBoost,970,2006-10-30 18:30:00,1007,1040.73
XGBoost,970,2006-10-30 18:45:00,866,874.13
XGBoost,970,2006-10-30 19:00:00,684,787.63
XGBoost,970,2006-10-30 19:15:00,692,621.86
XGBoost,970,2006-10-30 19:30:00,602,603.34
XGBoost,970,2006-10-30 19:45:00,545,539.87
XGBoost,970,2006-10-30 20:00:00,502,488.4
XGBoost,970,2006-10-30 20:15:00,498,454.95
XGBoost,970,2006-10-30 20:30:00,397,437.41
XGBoost,970,2006-10-30 20:45:00,439,400.64
XGBoost,970,2006-10-30 21:00:00,404,422.18
XGBoost,970,2006-10-30 21:15:00,352,391.57
XGBoost,970,2006-10-30 21:30:00,345,364.87
XGBoost,970,2006-10-30 21:45:00,362,347.46
XGBoost,970,2006-10-30 22:00:00,336,334.8
XGBoost,970,2006-10-30 22:15:00,255,311.68
XGBoost,970,2006-10-30 22:30:00,230,250.07
XGBoost,970,2006-10-30 22:45:00,202,212.6
XGBoost,970,2006-10-30 23:00:00,202,183.59
XGBoost,970,2006-10-30 23:15:00,167,164.55
XGBoost,970,2006-10-30 23:30:00,129,142.7
XGBoost,970,2006-10-30 23:45:00,96,117.91
XGBoost,970,2006-10-31 00:00:00,95,92.27
XGBoost,970,2006-10-31 00:15:00,82,82.07
XGBoost,970,2006-10-31 00:30:00,63,66.4
XGBoost,970,2006-10-31 00:45:00,58,54.9
XGBoost,970,2006-10-31 01:00:00,34,49.07
XGBoost,970,2006-10-31 01:15:00,38,34.48
XGBoost,970,2006-10-31 01:30:00,34,32.94
XGBoost,970,2006-10-31 01:45:00,25,30.77
XGBoost,970,2006-10-31 02:00:00,35,26.21
XGBoost,970,2006-10-31 02:15:00,27,28.42
XGBoost,970,2006-10-31 02:30:00,20,25.99
XGBoost,970,2006-10-31 02:45:00,25,22.11
XGBoost,970,2006-10-31 03:00:00,19,20.89
XGBoost,970,2006-10-31 03:15:00,28,20.53
XGBoost,970,2006-10-31 03:30:00,25,23.27
XGBoost,970,2006-10-31 03:45:00,18,26.37
XGBoost,970,2006-10-31 04:00:00,41,26.74
XGBoost,970,2006-10-31 04:15:00,32,40.97
XGBoost,970,2006-10-31 04:30:00,36,44.15
XGBoost,970,2006-10-31 04:45:00,43,45.03
XGBoost,970,2006-10-31 05:00:00,70,60.55
XGBoost,970,2006-10-31 05:15:00,74,96.81
XGBoost,970,2006-10-31 05:30:00,133,111.24
XGBoost,970,2006-10-31 05:45:00,160,174.4
XGBoost,970,2006-10-31 06:00:00,236,225.5
XGBoost,970,2006-10-31 06:15:00,377,332.75
XGBoost,970,2006-10-31 06:30:00,576,538.87
XGBoost,970,2006-10-31 06:45:00,675,661.55
XGBoost,970,2006-10-31 07:00:00,766,788.85
XGBoost,970,2006-10-31 07:15:00,943,925.59
XGBoost,970,2006-10-31 07:30:00,1204,1063.37
XGBoost,970,2006-10-31 07:45:00,1206,1214.72
XGBoost,970,2006-10-31 08:00:00,1243,1241.79
XGBoost,970,2006-10-31 08:15:00,1298,1285.51
XGBoost,970,2006-10-31 08:30:00,1314,1309.19
XGBoost,970,2006-10-31 08:45:00,1205,1259.63
XGBoost,970,2006-10-31 09:00:00,1090,1050.95
XGBoost,970,2006-10-31 09:15:00,930,963.84
XGBoost,970,2006-10-31 09:30:00,925,877.97
XGBoost,970,2006-10-31 09:45:00,890,858.14
XGBoost,970,2006-10-31 10:00:00,777,855.33
XGBoost,970,2006-10-31 10:15:00,818,808.9
XGBoost,970,2006-10-31 10:30:00,817,773.1
XGBoost,970,2006-10-31 10:45:00,793,779.39
XGBoost,970,2006-10-31 11:00:00,796,769.45
XGBoost,970,2006-10-31 11:15:00,837,813.04
XGBoost,970,2006-10-31 11:30:00,812,829.44
XGBoost,970,2006-10-31 11:45:00,810,812.61
XGBoost,970,2006-10-31 12:00:00,809,811.22
XGBoost,970,2006-10-31 12:15:00,835,811.15
XGBoost,970,2006-10-31 12:30:00,773,830.46
XGBoost,970,2006-10-31 12:45:00,830,807.41
XGBoost,970,2006-10-31 13:00:00,812,853.88
XGBoost,970,2006-10-31 13:15:00,836,823.73
XGBoost,970,2006-10-31 13:30:00,939,863.19
XGBoost,970,2006-10-31 13:45:00,873,889.05
XGBoost,970,2006-10-31 14:00:00,813,919.6
XGBoost,970,2006-10-31 14:15:00,842,851.91
XGBoost,970,2006-10-31 14:30:00,911,843.23
XGBoost,970,2006-10-31 14:45:00,890,885.36
XGBoost,970,2006-10-31 15:00:00,956,938.63
XGBoost,970,2006-10-31 15:15:00,973,1002.88
XGBoost,970,2006-10-31 15:30:00,1097,1010.48
XGBoost,970,2006-10-31 15:45:00,1070,1109.25
XGBoost,970,2006-10-31 16:00:00,1169,1089.68
