model_name,scats_number,hour_datetime,actual_flow_hourly,predicted_flow_hourly
XGBoost,2200,2006-10-30 03:00:00,46,50.44
XGBoost,2200,2006-10-30 04:00:00,89,88.05
XGBoost,2200,2006-10-30 05:00:00,203,193.97
XGBoost,2200,2006-10-30 06:00:00,883,802.31
XGBoost,2200,2006-10-30 07:00:00,2395,2333.74
XGBoost,2200,2006-10-30 08:00:00,2991,2963.9
XGBoost,2200,2006-10-30 09:00:00,2086,2157.2
XGBoost,2200,2006-10-30 10:00:00,1796,1749.25
XGBoost,2200,2006-10-30 11:00:00,1859,1821.06
XGBoost,2200,2006-10-30 12:00:00,1800,1896.34
XGBoost,2200,2006-10-30 13:00:00,2028,1861.72
XGBoost,2200,2006-10-30 14:00:00,2010,2038.49
XGBoost,2200,2006-10-30 15:00:00,2323,2294.26
XGBoost,2200,2006-10-30 16:00:00,2526,2567.53
XGBoost,2200,2006-10-30 17:00:00,2722,2680.63
XGBoost,2200,2006-10-30 18:00:00,2398,2400.19
XGBoost,2200,2006-10-30 19:00:00,1485,1537.6
XGBoost,2200,2006-10-30 20:00:00,1074,1081.67
XGBoost,2200,2006-10-30 21:00:00,853,889.66003
XGBoost,2200,2006-10-30 22:00:00,565,603.49
XGBoost,2200,2006-10-30 23:00:00,313,311.86
XGBoost,2200,2006-10-31 00:00:00,159,158.57
XGBoost,2200,2006-10-31 01:00:00,72,77.52
XGBoost,2200,2006-10-31 02:00:00,52,47.27
XGBoost,2200,2006-10-31 03:00:00,54,53.800003
XGBoost,2200,2006-10-31 04:00:00,85,77.17
XGBoost,2200,2006-10-31 05:00:00,211,232.89
XGBoost,2200,2006-10-31 06:00:00,943,864.36
XGBoost,2200,2006-10-31 07:00:00,2534,2509.92
XGBoost,2200,2006-10-31 08:00:00,2963,2962.08
XGBoost,2200,2006-10-31 09:00:00,2248,2270.95
XGBoost,2200,2006-10-31 10:00:00,1926,1919.72
XGBoost,2200,2006-10-31 11:00:00,1905,1911.8099
XGBoost,2200,2006-10-31 12:00:00,1989,1922.18
XGBoost,2200,2006-10-31 13:00:00,1976,1985.23
XGBoost,2200,2006-10-31 14:00:00,2026,2050.27
XGBoost,2200,2006-10-31 15:00:00,2397,2356.08
XGBoost,2200,2006-10-31 16:00:00,2486,2584.65
XGBoost,2200,2006-10-31 17:00:00,2837,2773.05
XGBoost,2200,2006-10-31 18:00:00,2510,2504.67
XGBoost,2200,2006-10-31 19:00:00,1682,1675.66
XGBoost,2200,2006-10-31 20:00:00,1248,1260.99
XGBoost,2200,2006-10-31 21:00:00,1013,990.86
XGBoost,2200,2006-10-31 22:00:00,696,722.28
XGBoost,2200,2006-10-31 23:00:00,344,356.66998
XGBoost,2820,2006-10-27 12:00:00,1392,1230.54
XGBoost,2820,2006-10-27 13:00:00,1410,1260.4199
XGBoost,2820,2006-10-27 14:00:00,1609,1353.69
XGBoost,2820,2006-10-27 15:00:00,2089,1852.29
XGBoost,2820,2006-10-27 16:00:00,2112,1957.59
XGBoost,2820,2006-10-27 17:00:00,2156,2036.4199
XGBoost,2820,2006-10-27 18:00:00,1812,1694.39
XGBoost,2820,2006-10-27 19:00:00,1243,1161.59
XGBoost,2820,2006-10-27 20:00:00,752,728.24
XGBoost,2820,2006-10-27 21:00:00,662,578.28
XGBoost,2820,2006-10-27 22:00:00,616,524.02997
XGBoost,2820,2006-10-27 23:00:00,526,492.87
XGBoost,2820,2006-10-28 00:00:00,327,329.56
XGBoost,2820,2006-10-28 01:00:00,206,205.45999
XGBoost,2820,2006-10-28 02:00:00,115,106.55
XGBoost,2820,2006-10-28 03:00:00,85,91.39
XGBoost,2820,2006-10-28 04:00:00,93,80.65
XGBoost,2820,2006-10-28 05:00:00,132,173.78
XGBoost,2820,2006-10-28 06:00:00,286,312.77002
XGBoost,2820,2006-10-28 07:00:00,504,502.18
XGBoost,2820,2006-10-28 08:00:00,907,883.79
XGBoost,2820,2006-10-28 09:00:00,1241,1225.06
XGBoost,2820,2006-10-28 10:00:00,1418,1366.75
XGBoost,2820,2006-10-28 11:00:00,1619,1573.29
XGBoost,2820,2006-10-28 12:00:00,1634,1601.31
XGBoost,2820,2006-10-28 13:00:00,1588,1572.69
XGBoost,2820,2006-10-28 14:00:00,1500,1571.71
XGBoost,2820,2006-10-28 15:00:00,1448,1435.95
XGBoost,2820,2006-10-28 16:00:00,1377,1455.38
XGBoost,2820,2006-10-28 17:00:00,1428,1422.21
XGBoost,2820,2006-10-28 18:00:00,1301,1327.8
XGBoost,2820,2006-10-28 19:00:00,959,988.66003
XGBoost,2820,2006-10-28 20:00:00,642,681.21
XGBoost,2820,2006-10-28 21:00:00,571,564.07
XGBoost,2820,2006-10-28 22:00:00,597,599.02
XGBoost,2820,2006-10-28 23:00:00,580,572.25
XGBoost,2820,2006-10-29 00:00:00,440,446.15
XGBoost,2820,2006-10-29 01:00:00,183,249.64
XGBoost,2820,2006-10-29 02:00:00,46,79.66
XGBoost,2820,2006-10-29 03:00:00,189,144.38
